co2,temperature,humidity,rainfall,pyrano
519.0,24.45,100.0,0.0,0.0
519.0,24.45,100.0,0.0,0.0
519.0,24.45,100.0,0.0,0.0
519.0,24.45,100.0,0.0,0.0
519.0,24.469,100.0,0.0,0.0
519.0,24.394,100.0,0.0,0.0
519.0,24.437,100.0,0.0,0.0
519.0,24.41,100.0,0.0,0.0
519.0,24.394,100.0,0.0,0.0
519.0,24.38,100.0,0.0,0.0
519.0,24.423,100.0,0.0,0.0
519.0,24.394,100.0,0.0,0.0
519.0,24.394,100.0,0.0,0.0
519.0,24.41,100.0,0.0,0.0
573.0,24.394,100.0,0.0,0.0
582.0,24.354,100.0,0.0,0.0
581.0,24.45,100.0,0.0,0.0
581.0,24.282,100.0,0.0,0.0
589.0,24.423,100.0,0.0,0.0
594.0,24.282,100.0,0.0,0.0
586.0,24.298,100.0,0.0,0.0
587.0,24.367,100.0,0.0,0.0
599.0,24.367,100.0,0.0,0.0
599.0,24.41,100.0,0.0,0.0
575.0,24.298,100.0,0.0,0.0
571.0,24.226,100.0,0.0,0.0
570.0,24.255,100.0,0.0,0.0
563.0,24.298,100.0,0.0,0.0
569.0,24.324,100.0,0.0,0.0
569.0,24.282,100.0,0.0,0.0
569.0,24.298,100.0,0.0,0.0
559.0,24.367,100.0,0.0,0.0
546.0,24.298,100.0,0.0,0.0
547.0,24.242,100.0,0.0,0.0
548.0,24.324,100.0,0.0,0.0
549.0,24.226,100.0,0.0,0.0
549.0,24.156,100.0,0.0,0.0
549.0,24.226,100.0,0.0,0.0
549.0,24.226,100.0,0.0,0.0
549.0,24.226,100.0,0.0,0.0
549.0,24.212,100.0,0.0,0.0
549.0,24.186,100.0,0.0,0.0
549.0,24.212,100.0,0.0,0.0
549.0,24.071,100.0,0.0,0.0
549.0,24.127,100.0,0.0,0.0
549.0,24.199,100.0,0.0,0.0
549.0,24.156,100.0,0.0,0.0
549.0,24.212,100.0,0.0,0.0
549.0,24.311,100.0,0.0,0.0
549.0,24.242,100.0,0.0,0.0
549.0,24.242,100.0,0.0,0.0
549.0,24.338,100.0,0.0,0.0
549.0,24.282,100.0,0.0,0.0
549.0,24.282,100.0,0.0,0.0
549.0,24.469,100.0,0.0,0.0
549.0,24.338,100.0,0.0,0.0
549.0,24.469,100.0,0.0,0.0
549.0,24.338,100.0,0.0,0.0
549.0,24.394,100.0,0.0,0.0
549.0,24.268,100.0,0.0,0.0
549.0,24.482,100.0,0.0,0.0
549.0,24.482,100.0,0.0,0.0
549.0,24.482,100.0,0.0,0.0
549.0,24.482,100.0,0.0,0.0
549.0,24.423,100.0,0.0,0.0
549.0,24.469,100.0,0.0,0.0
585.0,24.367,100.0,0.0,0.0
563.0,24.394,100.0,0.0,0.0
560.0,24.394,100.0,0.0,0.0
562.0,24.311,100.0,0.0,0.0
573.0,24.38,100.0,0.0,0.0
578.0,24.423,100.0,0.0,0.0
556.0,24.338,100.0,0.0,0.0
556.0,24.367,100.0,0.0,0.0
591.0,24.394,100.0,0.0,0.0
588.0,24.469,100.0,0.0,0.0
583.0,24.354,100.0,0.0,0.0
573.0,24.394,100.0,0.0,0.0
571.0,24.367,100.0,0.0,0.0
563.0,24.437,100.0,0.0,0.0
565.0,24.367,100.0,0.0,0.0
571.0,24.437,100.0,0.0,0.0
557.0,24.495,100.0,0.0,0.0
560.0,24.41,100.0,0.0,0.0
569.0,24.367,100.0,0.0,0.0
577.0,24.509,100.0,0.0,0.0
580.0,24.437,100.0,0.0,0.0
580.0,24.469,100.0,0.0,0.0
576.0,24.495,100.0,0.0,0.0
579.0,24.437,100.0,0.0,0.0
583.0,24.437,100.0,0.0,0.0
589.0,24.324,100.0,0.0,0.0
592.0,24.437,100.0,0.0,0.0
592.0,24.437,100.0,0.0,0.0
592.0,24.45,100.0,0.0,0.0
592.0,24.367,100.0,0.0,0.0
592.0,24.38,100.0,0.0,0.0
592.0,24.525,100.0,0.0,0.0
592.0,24.495,100.0,0.0,0.0
592.0,24.41,100.0,0.0,0.0
592.0,24.45,100.0,0.0,0.0
